UID,Latitude,Longitude,Name,City,St,Zip,Cat,Elev,Comments,Pin
200944,37.526852000000005,-81.37078000000001,Low Clearance,Corinne ,WV,25826,LCX,,unmarked height clearance,low_unk_pushpin
200945,37.451487,-81.707788,Low Clearance,Davy,WV,24828,LCX,,unmarked height clearance,low_unk_pushpin
200946,37.468089,-81.682519,Low Clearance,Davy,WV,24828,LCX,,ns unknown height clearance,low_unk_pushpin
200947,37.468312,-81.681687,Low Clearance,Davy,WV,24828,LCX,,ns unknown height clearance,low_unk_pushpin
200948,37.458619,-81.70099300000001,Low Clearance,Davy,WV,24828,LCX,,ns unknown height clearance,low_unk_pushpin
200949,38.823366,-82.15397,Low Clearance,Gallipolis Ferry,WV,25515,LCX,,ns unknown height clearance,low_unk_pushpin
200950,37.555358,-81.96635699999999,Low Clearance,Gilbert ,WV,25621,LCX,,ns unknown height clearance,low_unk_pushpin
200951,37.588875,-81.832925,Low Clearance,Hanover,WV,24839,LCX,,unmarked height clearance,low_unk_pushpin
200952,37.580208,-81.803291,Low Clearance,Hanover,WV,24839,LCX,,unmarked height clearance,low_unk_pushpin
200953,38.205394,-81.393327,Low Clearance,Hansford,WV,25103,LCX,,ns unknown height clearance,low_unk_pushpin
200954,38.831592,-82.134389,Low Clearance,Henderson,WV,25106,LCX,,unmarked height clearance,low_unk_pushpin
200955,38.42086,-82.389763,Low Clearance,Huntington,WV,25702,LCX,,unmarked height clearance,low_unk_pushpin
200956,37.481307,-81.83885,Low Clearance,Iaeger,WV,24844,LCX,,unmarked low height clearance,low_unk_pushpin
200957,38.398176,-82.576977,Low Clearance,Kenova,WV,25530,LCX,,unmarked height clearance,low_unk_pushpin
200958,38.398872999999995,-82.57656800000001,Low Clearance,Kenova,WV,25530,LCX,,unmarked height clearance,low_unk_pushpin
200959,38.305483,-82.57332099999999,Low Clearance,Kenova,WV,25530,LCX,,unmarked low height clearance,low_unk_pushpin
200960,38.309191,-82.571605,Low Clearance,Kenova,WV,25530,LCX,,ns unknown height clearance,low_unk_pushpin
200961,38.39608,-82.577724,Low Clearance,Kenova,WV,25530,LCX,,unmarked height clearance,low_unk_pushpin
200962,38.39633,-82.578479,Low Clearance,Kenova,WV,25530,LCX,,unmarked height clearance,low_unk_pushpin
200963,38.399665,-82.576208,Low Clearance,Kenova,WV,25530,LCX,,unmarked height clearance,low_unk_pushpin
200964,38.398303000000006,-82.585656,Low Clearance,Kenova,WV,25530,LCX,,unmarked height clearance,low_unk_pushpin
200965,38.400556,-82.575779,Low Clearance,Kenova,WV,25530,LCX,,unmarked height clearance,low_unk_pushpin
200966,38.401493,-82.575301,Low Clearance,Kenova,WV,25530,LCX,,unmarked height clearance,low_unk_pushpin
200967,37.419583,-81.25536,Low Clearance,Matoaka,WV,24736,LCX,,unmarked height clearance,low_unk_pushpin
200968,37.481456,-81.315186,Low Clearance,Matoaka,WV,24736,LCX,,unmarked high height clearance,low_unk_pushpin
200969,37.501205999999996,-81.33604100000001,Low Clearance,Matoaka,WV,24736,LCX,,unmarked height clearance,low_unk_pushpin
200970,37.77863,-80.892785,Low Clearance,Meadow Bridge,WV,25976,LCX,,ns unknown height clearance,low_unk_pushpin
200971,37.511299,-81.92698399999999,Low Clearance,Mohawk,WV,24862,LCX,,unmarked low height clearance,low_unk_pushpin
200972,38.834346999999994,-82.131111,Low Clearance,Point Pleasant,WV,25550,LCX,,ns unknown height clearance,low_unk_pushpin
200973,38.835574,-82.130377,Low Clearance,Point Pleasant,WV,25550,LCX,,ns unknown height clearance,low_unk_pushpin
200974,38.845624,-82.13801,Low Clearance,Point Pleasant,WV,25550,LCX,,unmarked height clearance,low_unk_pushpin
200975,38.875240000000005,-82.131323,Low Clearance,Point Pleasant,WV,25550,LCX,,ns unknown height clearance,low_unk_pushpin
200976,38.845482000000004,-82.136934,Low Clearance,Point Pleasant,WV,25550,LCX,,unmarked height clearance,low_unk_pushpin
200977,37.347712,-80.918622,Low Clearance,Princeton,WV,24740,LCX,,unmarked height clearance,low_unk_pushpin
200978,37.320029,-81.029486,Low Clearance,Princeton,WV,24739,LCX,,ns unknown height clearance,low_unk_pushpin
200979,37.339459999999995,-81.060836,Low Clearance,Princeton,WV,24740,LCX,,unmarked high height clearance,low_unk_pushpin
200980,37.337277,-80.954142,Low Clearance,Princeton,WV,24739,LCX,,unmarked height clearance,low_unk_pushpin
200981,38.066652000000005,-80.708218,Low Clearance,Quinwood ,wv,25981,LCX,,unmarked height clearance,low_unk_pushpin
200982,37.415828000000005,-81.26445600000001,Low Clearance,Rock,WV,24747,LCX,,unmarked height clearance,low_unk_pushpin
200983,37.372627,-81.2237,Low Clearance,Rock,WV,24747,LCX,,unmarked height clearance,low_unk_pushpin
200984,37.971819,-81.200672,Low Clearance,Scarbro ,WV,25917,LCX,,ns unknown height clearance,low_unk_pushpin
200985,37.966034,-81.221514,Low Clearance,Scarbro ,WV,25917,LCX,,unmarked high height clearance,low_unk_pushpin
200986,38.443164,-81.848086,Low Clearance,Scott Depot,WV,25560,LCX,,unmarked height clearance,low_unk_pushpin
200987,37.608078000000006,-81.73045,Low Clearance,Simon,WV,24882,LCX,,ns unknown height clearance,low_unk_pushpin
200988,37.615068,-81.78825400000001,Low Clearance,Simon,WV,24882,LCX,,ns unknown height clearance,low_unk_pushpin
200989,37.61061,-81.733598,Low Clearance,Simon,WV,24882,LCX,,ns unknown height clearance,low_unk_pushpin
200990,37.604215,-81.77846,Low Clearance,Simon,WV,24882,LCX,,ns unknown height clearance,low_unk_pushpin
200991,37.589938000000004,-81.767981,Low Clearance,Simon,WV,24882,LCX,,unmarked height clearance,low_unk_pushpin
200992,37.687197,-81.332708,Low Clearance,Slab Fork,WV,25920,LCX,,unmarked high height clearance,low_unk_pushpin
200993,37.668901,-81.376271,Low Clearance,Slab Fork,WV,25920,LCX,,unmarked height clearance,low_unk_pushpin
200994,38.181002,-81.306809,Low Clearance,Smithers,WV,25186,LCX,,unmarked height clearance,low_unk_pushpin
200995,38.350782,-81.740219,Low Clearance,South Charleston,WV,25309,LCX,,unmarked height clearance,low_unk_pushpin
200996,38.384963,-81.82080400000001,Low Clearance,St Albans,WV,25177,LCX,,unmarked low height clearance,low_unk_pushpin
200997,38.441085,-81.850301,Low Clearance,St Albans,WV,25177,LCX,,unmarked height clearance,low_unk_pushpin
200998,38.279030999999996,-80.977221,Low Clearance,summersville,WV,26651,LCX,,unmarked height clearance,low_unk_pushpin
200999,38.279362,-80.961409,Low Clearance,Summersville ,WV,26651,LCX,,ns unknown height clearance,low_unk_pushpin
201000,38.449785,-81.83729699999999,Low Clearance,Winfield,WV,25213,LCX,,unmarked height clearance,low_unk_pushpin
201012,46.133139,-67.78444300000001,Low Clearance,Houlton,ME,4730,LCX,,unmarked height clearance,low_unk_pushpin
201014,46.136748,-67.871476,Low Clearance,Houlton,ME,4730,LCX,,unmarked height clearance,low_unk_pushpin
201028,45.607122,-68.522165,Low Clearance,Medway,ME,4460,LCX,,unmarked height clearance,low_unk_pushpin
201031,45.375452,-68.605166,Low Clearance,Chester,ME,4457,LCX,,unmarked height clearance,low_unk_pushpin
201033,45.236177000000005,-68.67718,Low Clearance,Howland,ME,4448,LCX,,unmarked height clearance,low_unk_pushpin
201034,45.051973,-68.68777,Low Clearance,Argyle,ME,4468,LCX,,unmarked height clearance,low_unk_pushpin
201035,44.995155,-68.702155,Low Clearance,Old Town,ME,4468,LCX,,unmarked height clearance,low_unk_pushpin
201036,44.95945,-68.707261,Low Clearance,Old Town,ME,4468,LCX,,unmarked height clearance,low_unk_pushpin
201037,44.91834,-68.699433,Low Clearance,Old Town,ME,4468,LCX,,unmarked height clearance,low_unk_pushpin
201038,44.90292,-68.691905,Low Clearance,Orono,ME,4473,LCX,,unmarked height clearance,low_unk_pushpin
201039,44.889762,-68.693368,Low Clearance,Orono,ME,4473,LCX,,unmarked height clearance,low_unk_pushpin
201040,44.873314,-68.702353,Low Clearance,Orono,ME,4473,LCX,,unmarked height clearance,low_unk_pushpin
201041,44.846246,-68.730379,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201043,44.825557,-68.75394399999999,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201044,44.824478000000006,-68.758537,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201045,44.820440999999995,-68.769017,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201047,44.816856,-68.78479200000001,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201048,44.814864,-68.78789,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201049,44.811451,-68.790878,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201050,44.808885,-68.79333000000001,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201052,44.786966,-68.808329,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201053,44.786716999999996,-68.79406800000001,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201054,44.785087,-68.779876,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201055,44.783412,-68.772735,Low Clearance,Brewer,ME,4412,LCX,,unmarked height clearance,low_unk_pushpin
201056,44.773978,-68.746044,Low Clearance,Brewer,ME,4412,LCX,,unmarked height clearance,low_unk_pushpin
201057,44.771315,-68.72159,Low Clearance,Brewer,ME,4412,LCX,,unmarked height clearance,low_unk_pushpin
201058,44.784152,-68.81146899999999,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201059,44.780679,-68.817561,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201060,44.773706,-68.859303,Low Clearance,Hampden,ME,4444,LCX,,unmarked height clearance,low_unk_pushpin
201061,44.769866,-68.86945899999999,Low Clearance,Hampden,ME,4444,LCX,,unmarked height clearance,low_unk_pushpin
201062,44.76342,-68.951426,Low Clearance,Hermon,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201063,44.758708,-68.974468,Low Clearance,Hermon,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201064,44.778457,-69.062042,Low Clearance,Hermon,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201066,44.787861,-69.164455,Low Clearance,Etna,ME,4434,LCX,,unmarked height clearance,low_unk_pushpin
201067,44.80232,-69.220584,Low Clearance,Plymouth,ME,4969,LCX,,unmarked height clearance,low_unk_pushpin
201068,44.81864,-69.259538,Low Clearance,Newport,ME,4953,LCX,,unmarked height clearance,low_unk_pushpin
201069,44.833965,-69.29193000000001,Low Clearance,Palmyra,ME,4965,LCX,,unmarked height clearance,low_unk_pushpin
201071,44.79954,-69.392844,Low Clearance,Pittsfield,ME,4967,LCX,,unmarked height clearance,low_unk_pushpin
201073,44.769799,-69.40944,Low Clearance,Pittsfield,ME,4967,LCX,,unmarked height clearance,low_unk_pushpin
201074,44.736198,-69.432541,Low Clearance,Pittsfield,ME,4967,LCX,,unmarked height clearance,low_unk_pushpin
201075,44.705306,-69.45572800000001,Low Clearance,Pittsfield,ME,4967,LCX,,unmarked height clearance,low_unk_pushpin
201076,44.661759,-69.497851,Low Clearance,Clinton,ME,4927,LCX,,unmarked height clearance,low_unk_pushpin
201077,44.650217,-69.515566,Low Clearance,Clinton,ME,4927,LCX,,unmarked height clearance,low_unk_pushpin
201079,44.601714,-69.583093,Low Clearance,Benton,ME,4901,LCX,,unmarked height clearance,low_unk_pushpin
201080,44.601202,-69.59884699999999,Low Clearance,Waterville,ME,4901,LCX,,unmarked height clearance,low_unk_pushpin
201081,44.594196000000004,-69.61578100000001,Low Clearance,Waterville,ME,4901,LCX,,unmarked height clearance,low_unk_pushpin
201083,44.570959,-69.65566700000001,Low Clearance,Waterville,ME,4901,LCX,,unmarked height clearance,low_unk_pushpin
201084,44.566201,-69.66929499999999,Low Clearance,Waterville,ME,4901,LCX,,unmarked height clearance,low_unk_pushpin
201088,44.495869,-69.704719,Low Clearance,Sidney,ME,4330,LCX,,unmarked height clearance,low_unk_pushpin
201090,44.4533,-69.716078,Low Clearance,Sidney,ME,4330,LCX,,unmarked height clearance,low_unk_pushpin
201091,44.422602000000005,-69.740544,Low Clearance,Sidney,ME,4330,LCX,,unmarked height clearance,low_unk_pushpin
201092,44.354791,-69.78186600000001,Low Clearance,Augusta,ME,4330,LCX,,unmarked height clearance,low_unk_pushpin
201093,44.351564,-69.784527,Low Clearance,Augusta,ME,4330,LCX,,unmarked height clearance,low_unk_pushpin
201095,44.337563,-69.80718900000001,Low Clearance,Augusta,ME,4330,LCX,,unmarked height clearance,low_unk_pushpin
201096,44.320161,-69.813487,Low Clearance,Augusta,ME,4330,LCX,,unmarked height clearance,low_unk_pushpin
201099,44.297292999999996,-69.807415,Low Clearance,Hallowell,ME,4347,LCX,,unmarked height clearance,low_unk_pushpin
201101,44.276688,-69.80628399999999,Low Clearance,Hallowell,ME,4347,LCX,,unmarked height clearance,low_unk_pushpin
201102,44.263859000000004,-69.806791,Low Clearance,Farmingdale,ME,4344,LCX,,unmarked height clearance,low_unk_pushpin
201103,44.245131,-69.808121,Low Clearance,Farmingdale,ME,4344,LCX,,unmarked height clearance,low_unk_pushpin
201104,44.230952,-69.811588,Low Clearance,West Gardiner,ME,4345,LCX,,unmarked height clearance,low_unk_pushpin
201105,44.217991999999995,-69.82378,Low Clearance,West Gardiner,ME,4345,LCX,,unmarked height clearance,low_unk_pushpin
201106,44.208585,-69.83264399999999,Low Clearance,West Gardiner,ME,4345,LCX,,unmarked height clearance,low_unk_pushpin
201107,44.177074,-69.862251,Low Clearance,Litchfield,ME,4350,LCX,,unmarked height clearance,low_unk_pushpin
201108,44.154993,-69.901545,Low Clearance,Litchfield,ME,4350,LCX,,unmarked height clearance,low_unk_pushpin
201109,44.148740999999994,-69.915689,Low Clearance,Litchfield,ME,4350,LCX,,unmarked height clearance,low_unk_pushpin
201110,44.144651,-69.92509100000001,Low Clearance,Litchfield,ME,4350,LCX,,unmarked height clearance,low_unk_pushpin
201111,44.131325,-69.95525699999999,Low Clearance,Litchfield,ME,4350,LCX,,unmarked height clearance,low_unk_pushpin
201112,44.126481,-69.966892,Low Clearance,Litchfield,ME,4350,LCX,,unmarked height clearance,low_unk_pushpin
201113,44.1252,-69.98079399999999,Low Clearance,Litchfield,ME,4350,LCX,,unmarked height clearance,low_unk_pushpin
201114,44.124777,-69.99974300000001,Low Clearance,Litchfield,ME,4350,LCX,,unmarked height clearance,low_unk_pushpin
201115,44.124478,-70.019762,Low Clearance,Sabattus,ME,4280,LCX,,unmarked height clearance,low_unk_pushpin
201116,44.124101,-70.035866,Low Clearance,Sabattus,ME,4280,LCX,,unmarked height clearance,low_unk_pushpin
201117,44.112618,-70.062781,Low Clearance,Sabattus,ME,4280,LCX,,unmarked height clearance,low_unk_pushpin
201118,44.106423,-70.075313,Low Clearance,Sabattus,ME,4280,LCX,,unmarked height clearance,low_unk_pushpin
201119,44.101285,-70.0858,Low Clearance,Sabattus,ME,4280,LCX,,unmarked height clearance,low_unk_pushpin
201120,44.083366,-70.112371,Low Clearance,Sabattus,ME,4280,LCX,,unmarked height clearance,low_unk_pushpin
201121,44.078632,-70.122033,Low Clearance,Sabattus,ME,4280,LCX,,unmarked height clearance,low_unk_pushpin
201122,44.070852,-70.138725,Low Clearance,Lewiston,ME,4240,LCX,,unmarked height clearance,low_unk_pushpin
201123,44.066584999999996,-70.154574,Low Clearance,Lewiston,ME,4240,LCX,,unmarked height clearance,low_unk_pushpin
201125,44.071622,-70.184857,Low Clearance,Lewiston,ME,4240,LCX,,unmarked height clearance,low_unk_pushpin
201126,44.070733000000004,-70.196291,Low Clearance,Lewiston,ME,4240,LCX,,unmarked height clearance,low_unk_pushpin
201127,44.069382,-70.199966,Low Clearance,Lewiston,ME,4240,LCX,,unmarked height clearance,low_unk_pushpin
201128,44.064209000000005,-70.20835100000001,Low Clearance,Auburn,ME,4210,LCX,,unmarked height clearance,low_unk_pushpin
201129,44.052741,-70.226911,Low Clearance,Auburn,ME,4210,LCX,,unmarked height clearance,low_unk_pushpin
201130,44.047919,-70.239267,Low Clearance,Auburn,ME,4210,LCX,,unmarked height clearance,low_unk_pushpin
201131,44.04067,-70.258125,Low Clearance,Auburn,ME,4210,LCX,,unmarked height clearance,low_unk_pushpin
201132,44.038894,-70.263081,Low Clearance,Auburn,ME,4210,LCX,,unmarked height clearance,low_unk_pushpin
201133,44.036069,-70.273533,Low Clearance,Auburn,ME,4210,LCX,,unmarked height clearance,low_unk_pushpin
201134,44.027794,-70.288421,Low Clearance,Auburn,ME,4210,LCX,,unmarked height clearance,low_unk_pushpin
201135,43.997365,-70.308132,Low Clearance,New Gloucester,ME,4260,LCX,,unmarked height clearance,low_unk_pushpin
201136,43.985523,-70.309908,Low Clearance,New Gloucester,ME,4260,LCX,,unmarked height clearance,low_unk_pushpin
201137,43.977468,-70.31517,Low Clearance,New Gloucester,ME,4260,LCX,,unmarked height clearance,low_unk_pushpin
201138,43.958343,-70.32895400000001,Low Clearance,New Gloucester,ME,4260,LCX,,unmarked height clearance,low_unk_pushpin
201139,43.942085,-70.33380799999999,Low Clearance,New Gloucester,ME,4260,LCX,,unmarked height clearance,low_unk_pushpin
201140,43.924027,-70.337108,Low Clearance,New Gloucester,ME,4260,LCX,,unmarked height clearance,low_unk_pushpin
201141,43.897524,-70.341818,Low Clearance,Gray,ME,4039,LCX,,unmarked height clearance,low_unk_pushpin
201142,43.883526,-70.33615,Low Clearance,Gray,ME,4039,LCX,,unmarked height clearance,low_unk_pushpin
201143,43.878673,-70.33328900000001,Low Clearance,Gray,ME,4039,LCX,,unmarked height clearance,low_unk_pushpin
201145,43.837308,-70.32459300000001,Low Clearance,Gray,ME,4039,LCX,,unmarked height clearance,low_unk_pushpin
201146,43.814268,-70.317961,Low Clearance,Cumberland,ME,4021,LCX,,unmarked height clearance,low_unk_pushpin
201147,43.790442,-70.315128,Low Clearance,Falmouth,ME,4105,LCX,,unmarked height clearance,low_unk_pushpin
201148,43.746713,-70.30319300000001,Low Clearance,Falmouth,ME,4105,LCX,,unmarked height clearance,low_unk_pushpin
201149,43.734562,-70.301923,Low Clearance,Falmouth,ME,4105,LCX,,unmarked height clearance,low_unk_pushpin
201150,43.732212,-70.30233199999999,Low Clearance,Falmouth,ME,4105,LCX,,unmarked height clearance,low_unk_pushpin
201151,43.726129,-70.303788,Low Clearance,Falmouth,ME,4105,LCX,,unmarked height clearance,low_unk_pushpin
201152,43.721632,-70.304863,Low Clearance,Portland,ME,4103,LCX,,unmarked height clearance,low_unk_pushpin
201153,43.715906,-70.305782,Low Clearance,Portland,ME,4103,LCX,,unmarked height clearance,low_unk_pushpin
201154,43.699555,-70.315476,Low Clearance,Portland,ME,4103,LCX,,unmarked height clearance,low_unk_pushpin
201156,43.680488000000004,-70.32524699999999,Low Clearance,Portland,ME,4102,LCX,,unmarked height clearance,low_unk_pushpin
201157,43.676362,-70.327168,Low Clearance,Portland,ME,4102,LCX,,unmarked height clearance,low_unk_pushpin
201158,43.667421999999995,-70.33114300000001,Low Clearance,Westbrook,ME,4092,LCX,,unmarked height clearance,low_unk_pushpin
201159,43.664082,-70.33209000000001,Low Clearance,Westbrook,ME,4092,LCX,,unmarked height clearance,low_unk_pushpin
201160,43.660702,-70.33202,Low Clearance,Westbrook,ME,4092,LCX,,unmarked height clearance,low_unk_pushpin
201161,43.651007,-70.331172,Low Clearance,Portland,ME,4102,LCX,,unmarked height clearance,low_unk_pushpin
201162,43.649556,-70.331237,Low Clearance,Portland,ME,4102,LCX,,unmarked height clearance,low_unk_pushpin
201163,43.646245,-70.331889,Low Clearance,Portland,ME,4102,LCX,,unmarked height clearance,low_unk_pushpin
201164,43.638023,-70.33808499999999,Low Clearance,South Portland,ME,4106,LCX,,unmarked height clearance,low_unk_pushpin
201165,43.632151,-70.344121,Low Clearance,South Portland,ME,4106,LCX,,unmarked height clearance,low_unk_pushpin
201166,43.628685,-70.347836,Low Clearance,Scarborough,ME,4074,LCX,,unmarked height clearance,low_unk_pushpin
201167,43.625463,-70.35114,Low Clearance,Scarborough,ME,4074,LCX,,unmarked height clearance,low_unk_pushpin
201168,43.622078,-70.354636,Low Clearance,Scarborough,ME,4074,LCX,,unmarked height clearance,low_unk_pushpin
201169,43.610375,-70.366928,Low Clearance,Scarborough,ME,4074,LCX,,unmarked height clearance,low_unk_pushpin
201170,43.605158,-70.37237900000001,Low Clearance,Scarborough,ME,4074,LCX,,unmarked height clearance,low_unk_pushpin
201171,43.599453999999994,-70.37799,Low Clearance,Scarborough,ME,4074,LCX,,unmarked height clearance,low_unk_pushpin
201172,43.59138,-70.38532,Low Clearance,Scarborough,ME,4074,LCX,,unmarked height clearance,low_unk_pushpin
201173,43.574471,-70.403245,Low Clearance,Scarborough,ME,4074,LCX,,unmarked height clearance,low_unk_pushpin
201174,43.554024,-70.424912,Low Clearance,Saco,ME,4072,LCX,,unmarked height clearance,low_unk_pushpin
201175,43.527741,-70.45276899999999,Low Clearance,Saco,ME,4072,LCX,,unmarked height clearance,low_unk_pushpin
201176,43.522571,-70.45902199999999,Low Clearance,Saco,ME,4072,LCX,,unmarked height clearance,low_unk_pushpin
201177,43.514379,-70.470352,Low Clearance,Saco,ME,4072,LCX,,unmarked height clearance,low_unk_pushpin
201178,43.503645,-70.484241,Low Clearance,Saco,ME,4072,LCX,,unmarked height clearance,low_unk_pushpin
201179,43.496045,-70.490049,Low Clearance,Saco,ME,4072,LCX,,unmarked height clearance,low_unk_pushpin
201180,43.480224,-70.49981600000001,Low Clearance,Biddeford,ME,4005,LCX,,unmarked height clearance,low_unk_pushpin
201181,43.477121999999994,-70.502637,Low Clearance,Biddeford,ME,4005,LCX,,unmarked height clearance,low_unk_pushpin
201182,43.467696999999994,-70.515772,Low Clearance,Biddeford,ME,4005,LCX,,unmarked height clearance,low_unk_pushpin
201183,43.443037,-70.537875,Low Clearance,Arundel,ME,4046,LCX,,unmarked height clearance,low_unk_pushpin
201184,43.416968,-70.555925,Low Clearance,Kennebunk,ME,4043,LCX,,unmarked height clearance,low_unk_pushpin
201185,43.404333,-70.563002,Low Clearance,Kennebunk,ME,4043,LCX,,unmarked height clearance,low_unk_pushpin
201186,43.396623,-70.567351,Low Clearance,Kennebunk,ME,4043,LCX,,unmarked height clearance,low_unk_pushpin
201187,43.381376,-70.57583299999999,Low Clearance,Kennebunk,ME,4043,LCX,,unmarked height clearance,low_unk_pushpin
201188,43.357255,-70.58925699999999,Low Clearance,Wells,ME,4090,LCX,,unmarked height clearance,low_unk_pushpin
201189,43.333779,-70.60230200000001,Low Clearance,Wells,ME,4090,LCX,,unmarked height clearance,low_unk_pushpin
201190,43.322687,-70.60781899999999,Low Clearance,Wells,ME,4090,LCX,,unmarked height clearance,low_unk_pushpin
201191,43.297748,-70.615939,Low Clearance,Wells,ME,4090,LCX,,unmarked height clearance,low_unk_pushpin
201192,43.27174,-70.61854100000001,Low Clearance,Wells,ME,4090,LCX,,unmarked height clearance,low_unk_pushpin
201193,43.262734,-70.61946999999999,Low Clearance,Oqunquit,ME,3907,LCX,,unmarked height clearance,low_unk_pushpin
201194,43.248739,-70.625056,Low Clearance,Oqunquit,ME,3907,LCX,,unmarked height clearance,low_unk_pushpin
201195,43.223696999999994,-70.637158,Low Clearance,Cape Neddick,ME,3902,LCX,,unmarked height clearance,low_unk_pushpin
201196,43.205019,-70.64325799999999,Low Clearance,Cape Neddick,ME,3902,LCX,,unmarked height clearance,low_unk_pushpin
201197,43.156611,-70.665685,Low Clearance,York,ME,3909,LCX,,unmarked height clearance,low_unk_pushpin
201198,43.151687,-70.67620600000001,Low Clearance,York,ME,3909,LCX,,unmarked height clearance,low_unk_pushpin
201199,43.14069,-70.69948199999999,Low Clearance,York,ME,3909,LCX,,unmarked height clearance,low_unk_pushpin
201200,43.123704,-70.723628,Low Clearance,Kittery,ME,3904,LCX,,unmarked height clearance,low_unk_pushpin
201201,43.112508,-70.737317,Low Clearance,Kittery,ME,3904,LCX,,unmarked height clearance,low_unk_pushpin
201202,43.108326,-70.742829,Low Clearance,Kittery,ME,3904,LCX,,unmarked height clearance,low_unk_pushpin
201203,43.10458,-70.747638,Low Clearance,Kittery,ME,3904,LCX,,unmarked height clearance,low_unk_pushpin
201204,43.098011,-70.756157,Low Clearance,Kittery,ME,3904,LCX,,unmarked height clearance,low_unk_pushpin
201205,45.731631,-68.589014,Low Clearance,Medway,ME,4460,LCX,,unmarked height clearance,low_unk_pushpin
201206,45.35017,-69.050762,Low Clearance,Brownville,ME,4414,LCX,,unmarked height clearance,low_unk_pushpin
201207,45.350716999999996,-69.05179100000001,Low Clearance,Brownville,ME,4414,LCX,,unmarked height clearance,low_unk_pushpin
201211,44.791989,-68.867222,Low Clearance,Hermon,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201212,44.791713,-68.867352,Low Clearance,Hermon,ME,4401,LCX,,ns unknown height clearance,low_unk_pushpin
201213,44.792223,-68.863472,Low Clearance,Hermon,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201214,44.639623,-68.885467,Low Clearance,Frankfort,ME,4438,LCX,,unmarked height clearance,low_unk_pushpin
201217,44.591087,-68.868158,Low Clearance,Frankfort,ME,4438,LCX,,unmarked height clearance,low_unk_pushpin
201219,44.517343,-68.814157,Low Clearance,Stockton Springs,ME,4981,LCX,,unmarked height clearance,low_unk_pushpin
201220,44.781031,-68.781995,Low Clearance,Bangor,ME,4401,LCX,,unmarked height clearance,low_unk_pushpin
201222,44.781574,-68.761688,Low Clearance,Brewer,ME,4412,LCX,,unmarked height clearance,low_unk_pushpin
201223,44.782585,-68.76515699999999,Low Clearance,Brewer,ME,4412,LCX,,unmarked height clearance,low_unk_pushpin
201224,44.780454999999996,-68.758769,Low Clearance,Brewer,ME,4412,LCX,,unmarked height clearance,low_unk_pushpin
201228,44.558741999999995,-69.628124,Low Clearance,Waterville,ME,4901,LCX,,unmarked height clearance,low_unk_pushpin
201229,44.554952,-69.709715,Low Clearance,Oakland,ME,4963,LCX,,unmarked height clearance,low_unk_pushpin
201231,44.100389,-70.227235,Low Clearance,Auburn,ME,4210,LCX,,unmarked height clearance,low_unk_pushpin
201234,43.629684000000005,-70.295872,Low Clearance,South Portland,ME,4106,LCX,,unmarked height clearance,low_unk_pushpin
201237,46.874414,-67.98881899999999,Low Clearance,Caribou,ME,4736,LCX,,unmarked height clearance,low_unk_pushpin
201238,46.874206,-67.990104,Low Clearance,Caribou,ME,4736,LCX,,unmarked height clearance,low_unk_pushpin
201240,46.887581,-68.014199,Low Clearance,Caribou,ME,4736,LCX,,unmarked height clearance,low_unk_pushpin
201241,46.853878,-68.004207,Low Clearance,Caribou,ME,4736,LCX,,unmarked height clearance,low_unk_pushpin
201242,46.650526,-68.003849,Low Clearance,Presque Isle,ME,4769,LCX,,unmarked height clearance,low_unk_pushpin
201244,44.491437,-68.85761,Low Clearance,Stockton Springs,ME,4981,LCX,,unmarked height clearance,low_unk_pushpin
201247,44.423677000000005,-69.021556,Low Clearance,Belfast,ME,4915,LCX,,unmarked height clearance,low_unk_pushpin
201250,44.032645,-69.542934,Low Clearance,Newcastle,ME,4553,LCX,,unmarked height clearance,low_unk_pushpin
201251,43.911879,-69.802626,Low Clearance,Bath,ME,4530,LCX,,unmarked height clearance,low_unk_pushpin
201252,43.911532,-69.81286300000001,Low Clearance,Bath,ME,4530,LCX,,unmarked height clearance,low_unk_pushpin
