0,1,2,3,4,5,6,7,8
-86.0835,33.995,Petro\,  Shell RV Dump; 162 Truck Parking Spots; #0352,256-413-7135,I-59 Exit 181; 1724 West Grand Ave.,Gadsen,AL,35904,USA
-86.863208,34.116642999999996,Pilot\, 70 Truck Parking Spots; #1550.,256-255-5638,I-65 Exit 304; 1600 CR 437,Good Hope,AL,35055,USA
-88.3336,30.4985,TA\,  BP 89 Truck Parking Spots; #0054,251-865-6175,I-10 Exit 4; 9201 Grand Bay,Grand Bay,AL,36541,USA
-86.8722,34.0504,Petro\,  Conoco 312 Truck Parking Spots; #0397,256-287-1299,I-65 Exit 299; 426 Alabama Highway 69 S,Hanceville,AL,35077,USA
-86.415382,32.196382,Love's\,  RV Dump; 85 Truck Parking Spots; #0718,334-280-0009,I-65 Exit 158; 1127 Tyson Rd,Hope Hull,AL,36040,USA
-86.420349,32.194557,Flying J\, RV Lanes/RV Dump/Propane; 127 Truck Parking Spots/RV Parking; #0604,334-613-0212,I-65 Exit 158; 900 Tyson Rd,Hope Hull,AL,36043,USA
-87.241662,33.790777,Love's\,  RV Dump/Propane; 65 Truck Parking Spots; #0466,205-295-1706,I-22 Exit 65; 83 Carl Cannon Blvd,Jasper,AL,35501,USA
-86.159239,33.593045000000004,Pilot\, Propane; 80 Truck Parking Spots; #0497,205-763-2225,I-20 Exit 165; 130 Honda Dr,Lincoln,AL,35096,USA
-86.1248,33.5865,TA\,  Shell 45 Truck Parking Spots; #0260,205-763-2771,I-20 Exit 168; 75246 Alabama 77,Lincoln,AL,35096,USA
-86.121727,33.593728999999996,Pilot\, 30 Truck Parking Spots; #1549,205-763-1631,I-20 Exit 168; 75750 Hwy 77,Lincoln,AL,35096,USA
-87.759422,30.654386,Love's\,  RV Dump; 40 Truck Parking Spots; #0206,251-964-2090,I-10 Exit 44; 126 E Flying K Rd,Loxley,AL,36551,USA
-87.09893000000001,33.278775,Love's\,  90 Truck Parking Spots; #0227,205-477-9423,I-20 Exit 100; 22183 Hwy 216,McCalla,AL,35111,USA
