longitude,latitude,dump_site_name,state_province
-114.609141,49.630588,Coleman Travel Alberta Visitor Information Centre,AB
-113.570425,53.644054,St Albert,AB
-114.490795,51.543993,Cremona,AB
-115.36668,51.106145,Canmore good Visitor Center,AB
-114.783968,55.271408,Slave Lake Canadian Tire,AB
-114.012643,51.067515,good CALGARY Dump Station at GAS shell,AB
-97.097518,49.797496,good WINNIPEG Dump Station,AB
-97.105492,49.950854,Winnipeg,AB
-115.554514,51.192258,good BANF DUMP water,AB
-110.041217,49.943947,Walsh Visitor center,AB
-110.685282,50.011576,? Tourist info Medecine hat,AB
-115.263606,51.039539,good GAS DUMP,AB
-112.167568,50.681486,REST AREA DUMP,AB
-113.911937,49.046382,Waterton RV Dump,AB
-112.080319,49.142158,Milk River Tourist Info Center,AB
-112.105919,50.069923,Vauxhall,AB
-111.883239,50.559377,Brooks Kinsmen Hall,AB
-111.902783,50.731066,Duchess,AB
-113.875496,50.57852,High River George Lane Memorial Park,AB
-110.485429,51.350274,Oyen,AB
-114.490674,49.635694,Coleman,AB
-72.200084,48.881847,Dolbeau,QC
-72.661339,46.302608,Pointe-du-Lac,QC
-72.42884,46.21348,Saint-Célestin,QC
-113.957458,52.027573,Innisfail Information,AB
-117.299952,56.240383,Peace River,AB
-119.439114,46.380078,West Richland,WA
-71.19553,46.598882,Ultramar,QC
-113.790322,52.312001,Reddeer,AB
-111.313096,34.24053,Payson,AZ
-110.046695,34.247807,Show Low,AZ
-115.685986,54.138952,Whitecourt,AB
-112.527022,37.04313,Kanab,UT
-112.163358,43.373631,Shelley,ID
-112.158504,37.668114,BRICE before campground,UT
-114.135689,51.661457,Didsbury Memorial Complex Arena,AB
-114.037629,51.422033,Crossfield,AB
-114.004003,51.375133,Rest STOP Hwy-2,AB
-114.073049,52.315895,Sylvan Lake,AB
-110.869734,52.842726,Wainwright,AB
-113.726569,53.344484,Devon,AB
-114.993255,53.206779,Drayton Valley,AB
-114.992903,53.220026,Drayton Valley,AB
-113.497416,53.412969,Edmonton Information Centre,AB
-118.795263,55.133511,Grande Prairie,AB
-116.576463,53.576463,Edson Rest Area,AB
-112.976492,52.586389,Bashaw,AB
-113.210641,53.69463,Fort Saskatchewan Canadian Tire,AB
-113.195611,53.706225,Fort Saskatchewan,AB
-113.059434,53.197087,Hay Lakes,AB
-117.55435,53.407933,Hinton Esso,AB
-118.814935,55.180189,Grande Prairie,AB
-113.860692,52.142212,Penhold,AB
-114.915544,52.380618,Rocky Mountain House Visitor Center,AB
-117.623314,53.385091,Hinton Canadian Tire,AB
-113.939378,52.021759,Innisfail,AB
-113.468032,53.090988,Millet,AB
-113.26945,54.727465,Arthabasca (at the end),AB
-113.521919,53.318345,Bulk Water,AB
-113.653261,53.801148,Morinville,AB
-113.638571,53.625979,St. Albert,AB
-111.231762,52.918045,Irma,AB
-118.080059,52.872229,Jasper inside Industrial Park,AB
-115.024551,51.047532,Kananaskis Visitor Center,AB
-111.351049,56.678414,Fort McMurray Visitor Information Centre,AB
-114.631107,50.911733,lbow Valley Visitor Information Centre,AB
-113.549871,53.278004,Leduc Regional Chamber Of Commerce,AB
-112.800153,49.669252,Lethbridge,AB
-113.506704,51.497668,Acme,AB
-114.016741,51.297139,Airdrie,AB
-114.401377,54.136636,Barrhead,AB
-113.795892,52.381943,Blackfalds,AB
-117.195774,55.72432,Falher,AB
-112.806399,54.592601,Boyle,AB
-114.560981,50.952277,Bragg Creek,AB
-114.678239,50.889826,Bragg Creek,AB
-112.042086,53.173093,Bruce,AB
-111.519525,50.762344,Dinosaur Provincial Park,AB
-116.44328,53.57652,Edson,AB
-113.052467,49.887357,Nobleford,AB
-151.529219,59.642362,Homer,AK
-85.369424,33.667729,I-20 CLEBURNE COUNTY WELCOME CENTER WB,AL
-86.309572,33.850692,I-59 ST CLAIR COUNTY REST AREA NB,AL
-86.26854,33.874538,I-59 ST CLAIR COUNTY REST AREA SB,AL
-85.557909,34.709337,I-59 DEKALB COUNTY WELCOME CENTER SB,AL
-88.401527,32.449365,I-59/20 SUMTER COUNTY WELCOME CENTER NB,AL
-87.959059,32.841501,I-59/20 GREENE COUNTY REST AREA NB,AL
-87.938134,32.858956,I-59/20 GREENE COUNTY REST AREA SB,AL
-87.323996,33.189983,I-59/20 TUSCALOOSA COUNTY REST AREA NB SB,AL
-87.113734,31.336915,I-65 CONECUH COUNTY REST AREA NB,AL
-86.890553,34.956755,I-65 ARDMORE WELCOME CENTER CENTER SB,AL
-86.866339,34.074862,I-65 CULLMAN COUNTY REST AREA NB SB,AL
-86.635782,32.905588,I-65 CHILTON COUNTY REST AREA NB SB,AL
-86.60923,31.883799,I-65 BUTLER COUNTY REST AREA NB SB,AL
-87.047289,31.374923,I-65 CONECUH COUNTY REST AREA SB,AL
