,uid,latitude,longitude,name,city,st,zip,cat,elev,comments,height
4142,187931,43.01062,-73.838263,Low Clearance,Ballston Spa,NY,12020,LC12,,12 - 11 height clearance (136),12.11
4143,187987,29.403649,-81.136303,Low Clearance,Ormond Beach,FL,32174,LC8,,8 - 6 height clearance (136),8.6
4144,187988,40.701522,-91.034322,Low Clearance,Lomax,IL,61454,LC10,,10-7 height clearance (136),10.7
4145,187989,42.120153,-89.242548,Low Clearance,Byron,IL,61010,LC10,,10-0 height clearance (136),10.0
4146,187990,42.499696,-90.6535,Low Clearance,Dubuque,IA,52001,LC10,,,10.9
4147,187991,41.661226,-91.539398,Low Clearance,Iowa City,IA,52245,LC10,,,10.5
4148,187993,31.250444,-90.453184,Low Clearance,McComb,MS,39648,LC10,,10-2 height clearance (136),10.2
4149,187994,40.482073,-78.555325,Low Clearance,Gallitzin,PA,16641,LC10,,10 - 6 height clearance (136),10.6
4150,187995,40.311707,-79.57943900000002,Low Clearance,Greensburg,PA,15601,LC10,,10-1 height clearance (136),10.1
4151,187996,43.602207,-73.015342,Low Clearance,Center Rutland,VT,5736,LC10,,10-0 height clearance (136),10.0
4152,187997,44.500995,-89.387259,Low Clearance,Custer,WI,54423,LC10,,10-0 height clearance (136),10.0
4153,187998,43.133756,-89.38431899999998,Low Clearance,Madison,WI,53704,LC10,,10-6 height clearance (136),10.6
4154,188000,41.339603,-86.316514,Low Clearance,Plymouth,IN,46563,LC10,,10-10 height clearance (136),10.1
4155,188001,41.338605,-86.310388,Low Clearance,Plymouth,IN,46563,LC10,,10-11 height clearance (136),10.11
4156,188002,40.74443400000001,-86.377183,Low Clearance,Logansport,IN,46947,LC10,,10-9 height clearance (136),10.9
4157,188003,41.159262,-92.120817,Low Clearance,Packwood,IA,52580,LC10,,10-0 height clearance (136),10.0
4158,188004,42.250748,-90.419795,Low Clearance,Bellevue,IA,52031,LC10,,10-1 height clearance (136),10.1
4159,188005,31.767635,-93.093386,Low Clearance,Natchitoches,LA,71457,LC13,,13 - 3 height clearance (136),13.0
4160,188006,38.200926,-84.880021,Low Clearance,Frankfort,KY,40601,LC10,,10-7 height clearance (136),10.7
4161,188007,44.029134,-69.577321,Low Clearance,Newcastle,ME,4553,LC10,,10-7 height clearance (136),10.7
4162,188008,42.219223,-71.185425,Low Clearance,Westwood,MA,2090,LC10,,10-6 height clearance (136),10.6
4163,188009,39.353408,-94.29684,Low Clearance,Excelsior Springs,MS,64024,LC10,,10-0 height clearance (136),10.0
4164,188010,36.75339500000001,-91.870547,Low Clearance,West Plains,MO,,LC10,,10-0 height clearance (136),10.0
4165,188011,38.735994,-90.219943,Low Clearance,Saint Louis,MS,63137,LC10,,10-2 height clearance (136),10.2
4166,188012,40.680975,-74.20566,Low Clearance,Elizabeth,NJ,7201,LC10,,10-7 height clearance (136),10.7
4167,188013,40.658956,-74.220787,Low Clearance,Elizabeth,NJ,7202,LC10,,10-11 height clearance (136),10.11
4168,188014,40.350925,-74.07715999999998,Low Clearance,Red Bank,NJ,7701,LC10,,10-11 height clearance (136),10.11
4169,188015,41.915955,-74.00669,Low Clearance,Kingston,NY,12401,LC10,,10-2 height clearance (136),10.2
4170,188016,45.024166,-91.393794,Low Clearance,Chippewa Falls,WI,54729,LC10,,10-4 height clearance (136),10.4
4171,188017,41.85787,-72.641301,Low Clearance,Windsor,CT,6095,LC10,,10-6 height clearance (136),10.6
