Unnamed: 0,cat,city,comments,elev,height,latitude,longitude,name,st,uid,zip
51.0,LC15,Montgomery,16 - 0 height clearance,,16.0,32.358886,-86.33506700000002,Low Clearance,AL,101268.0,36108
52.0,LC14,Morris,14 - 3 height clearance,,14.3,33.714898,-86.73905,Low Clearance,AL,101283.0,35116
53.0,LC9,Morris,9 - 6 height clearance (136),,9.6,33.757931,-86.75313,Low Clearance,AL,101284.0,35116
54.0,LC14,Natural Bridge,14 - 10 height clearance,,14.1,34.087759999999996,-87.601236,Low Clearance,AL,101296.0,35577
55.0,LC10,Oneonta,10 - 0 height clearance (136),,10.0,33.971021,-86.518348,Low Clearance,AL,101309.0,35121
56.0,LC8,Oneonta,8 - 6 height clearance (136),,8.6,34.00742,-86.44881,Low Clearance,AL,101310.0,35121
57.0,LC14,Opelika,14 - 0 height clearance,,14.0,32.62673,-85.3714,Low Clearance,AL,101315.0,36804
58.0,LC10,Opelika,10 - 1 height clearance (136),,10.1,32.643359999999994,-85.386084,Low Clearance,AL,101316.0,36801
59.0,LC8,Opelika,8 - 0 height clearance (136),,8.0,32.654214,-85.429663,Low Clearance,AL,101317.0,36801
60.0,LC8,Ozark,8 - 0 height clearance (136),,8.0,31.47304,-85.659371,Low Clearance,AL,101339.0,36360
61.0,LC8,Pell City,8 - 0 height clearance (136),,8.0,33.592368,-86.398341,Low Clearance,AL,101349.0,35128
62.0,LC8,Phenix City,8 - 0 height clearance (136),,8.0,32.477308,-84.998559,Low Clearance,AL,101356.0,36867
63.0,LC8,Phenix City,8 - 0 height clearance (136),,8.0,32.477348,-84.99685799999997,Low Clearance,AL,101357.0,36867
64.0,LC14,Riverside,14 - 0 height clearance,,14.0,33.603035,-86.195588,Low Clearance,AL,101379.0,35135
65.0,LC15,Scottsboro,16 - 1 height clearance,,16.1,34.594856,-86.057277,Low Clearance,AL,101400.0,35769
66.0,LC13,Seale,13 - 1 height clearance (136),,13.1,32.29444,-85.17875,Low Clearance,AL,101401.0,36875
67.0,LC13,Spanish Fort,13 - 6 height clearance,,13.6,30.66657,-87.91688,Low Clearance,AL,101420.0,36527
68.0,LC13,Spanish Fort,13 - 6 height clearance,,13.6,30.6781,-87.98661,Low Clearance,AL,101421.0,36527
69.0,LC13,Tuscaloosa,13 - 8 height clearance,,13.8,33.22703,-87.508562,Low Clearance,AL,101461.0,35404
70.0,LC15,Tuscumbia,16 - 0 height clearance,,16.0,34.713705,-87.63481800000002,Low Clearance,AL,101473.0,35674
71.0,LC10,Vincent,10 - 10 height clearance (136),,10.1,33.37149,-86.40262,Low Clearance,AL,101488.0,35178
72.0,LC14,Vincent,14 - 3 height clearance,,14.3,33.384689,-86.41194300000002,Low Clearance,AL,101489.0,35178
73.0,LC8,Warrior,8 - 6 height clearance (136),,8.6,33.78454,-86.74916,Low Clearance,AL,101491.0,35180
